Filename,Extension,File Size
1wda,.docx,826617
borang aku janji,.pdf,393525
borang kolej,.pdf,307996
borang,.pdf,552953
borangadad,.pdf,552953
CHAPTER 4,.docx,28603
Circular - Akademik - 2021 - 03 - Kuliah Mac 2021,.pdf,22803884
Cnt,.docx,13480
cod,.pdf,119785
cod2 receipt,.pdf,120553
cod3,.pdf,122420
Copy of HEADSET_AND_WEBCAM_ASSIGNATION_CORRECTION(1),.xlsx,12002
Database1,.accdb,524288
Database2,.accdb,733184
example,.pdf,256912
excelsior,.accdb,524288
exercise 4.1,.docx,165846
f,.pdf,215805
FAHMI,.txt,86415
FINAL ASSESSMENT STA404 July 2022,.pdf,569700
first slide (1)-edit latest (1),.pptx,1249448
first slide (1)-edit,.pptx,358447
Fuzzy formatted,.docx,1103250
GEMALA,.accdb,352256
Group Formation group b,.docx,451302
Group Formation group B,.pdf,103559
Group Formation.docx,.pdf,75554
Group Formation1,.docx,75554
Group FormationasdfafD,.docx,47084
group project,.accdb,708608
jadual final,.xlsx,14265
Kualiti guru,.docx,14723
lab w5,.wav,5794
LAPTOP-65GVFB7P,.txt,85650
naruto,.pdf,121486
ok,.pdf,122577
paractical 1 muhammad fahmi bin muhamad zaki 2020498714,.docx,22997
PELAPORAN SULAM KOKURIKULUM (2021),.pdf,213466
PERLEMBAGAAN MALAYSIA,.pdf,242292
Pindaan Kalendar Akademik - KUMPULAN B - SESI I 2022_2023,.pdf,177165
PINGGIR PANTAI - Shahmin,.pptx,2132015
Presentation1,.pptx,2872504
ptptn maklumat,.pdf,298846
question 2,.docx,137414
"resin,py",.txt,894
resin,.txt,894
restoro,.txt,33
SET 1 ANSWER SHEET,.docx,34276
SMH_Employees,.accdb,12222464
SQL GP,.docx,15000
superviser approval fahmi,.pdf,185158
Tables,.docx,16450
test 1,.pdf,217704
The usage of Ai chatbot in school,.pptx,521688
validasi kursus,.pdf,205902
WhatsApp Image 2023-04-09 at 01.33.29,.jpg,111044
yuran keahlian,.pdf,128540
مادة,.docx,28024
مادة,.pdf,69048
yolov5-opencv-cpp-python-main,.zip,106547612
yolov5,.png,886106
classes,.txt,625
annotation,.png,23031
araras,.jpg,64354
araras_detection,.png,568808
car,.jpg,169819
car_detections,.png,379962
car_detections_small,.png,121901
corrida-crianças-1280x720,.jpg,140803
dataset_image_example,.png,437186
folder_structure,.png,183357
format_input_image,.png,106497
kids_detection,.png,1379697
kids_detection_output,.png,408043
mask-teens,.jpg,521327
mask,.gif,9505844
mask_dataset,.png,172546
mask_image_decorated,.png,1193823
nms,.png,5117
prediction-layout,.png,59200
results,.png,258493
sample_mask,.gif,12489940
several_detections,.png,373144
training_result,.png,194403
AJK Booth 2 (Relex),.txt,141
chapter 1,.docx,98918
JAWATANKUASA RELEX 2022-2023,.pdf,151244
jawatankuasa RELEX,.docx,207471
jawatankuasa RELEX,.pdf,158514
laporan POST MORTEM TCG WEEK,.docx,44447
logo relex,.png,85410
logo_relex-transformed,.png,584970
Minit Mesyuarat 2,.pdf,202952
ORGANISASI DAN FUNGSI JAWATANKUASA KERJA,.docx,20757
ORGANISASI DAN FUNGSI JAWATANKUASA KERJA,.pdf,91855
Pemberitahuan_2022_Tarikh_Pendaftaran_Peralatan_Elektrik_Sesi_Okt,.pdf,295610
PERMOHONAN PENGECUALIAN KULIAH,.docx,233205
Poster AGM,.jpg,93445
Program Majlis Rasmi,.docx,814617
Protocol talk,.docx,329885
RELEX AGM Surat Jemputan (MPP),.docx,39400
RELEX AGM Surat Jemputan (MPP),.pdf,69772
RELEX AGM Surat Jemputan (UNIQ),.docx,39303
RELEX AGM Surat Jemputan (UNIQ),.pdf,70500
Surat Jemputan AGM Penasihat Kelab Madam Salihah.docx,.pdf,63592
tkes,.docx,12633
tkes,.pdf,54964
MINIT MESYUARAT RELEX 2022_2023 (1),.docx,92917
MINIT MESYUARAT RELEX 2022_2023,.docx,92917
MINIT MESYUARAT RELEX 2022_2023,.pdf,174054
RELEX AGM Surat Jemputan (MPP),.docx,54364
RELEX AGM Surat Jemputan (MPP),.pdf,79971
RELEX AGM Surat Jemputan (PENASIHAT),.docx,54577
RELEX AGM Surat Jemputan (PENASIHAT),.pdf,99241
RELEX AGM Surat Jemputan (UNIQ),.docx,54082
RELEX AGM Surat Jemputan (UNIQ),.pdf,80764
RELEX AGM Surat Jemputan MPP,.pdf,99161
RELEX AGM Surat Jemputan UNIQ,.pdf,99860
ARTIKEL_EMAJALAH_RELEX_TCGWEEK,.docx,212764
3. BORANG PINDAAN AKTIVITI PELAJAR,.dotx,92867
contoh,.docx,332272
KP,.txt,285
resit amir,.pdf,77990
surat permohonan khemah presiden,.docx,350839
surat permohonan khemah presiden,.pdf,218327
surat permohonan pengangkutan (incomplete),.docx,350225
surat permohonan pengangkutan,.docx,333892
surat pinjaman peralatan,.docx,347051
surat pinjaman peralatan,.pdf,212431
MINIT MESYUARAT LEISURE CAMPING (1),.docx,38103
MINIT MESYUARAT LEISURE CAMPING (2),.docx,36951
MINIT MESYUARAT POST MORTEM LEISURE CAMPING,.docx,38625
RELEX - BERKHEMAH DAN BERKAYAK,.pdf,324454
RELEX - CAMPING TUKAR TARIKH,.pdf,703912
RESIT FAHMI,.pdf,73148
surat makluman jpkk,.docx,465838
surat makluman jpkk,.pdf,280196
surat makluman polis,.docx,465829
surat makluman polis,.pdf,276080
surat permohonan khemah presiden,.docx,350925
surat permohonan khemah presiden,.pdf,217603
surat permohonan kit presiden,.docx,351173
surat permohonan kit presiden,.pdf,218714
surat pinjaman peralatan presiden,.docx,358137
surat pinjaman peralatan presiden,.pdf,217232
Borang_C_Pindaan_2019,.pdf,355639
SENARAI_SEMAK_DOKUMEN_PERMOHONAN_AKTIVITI_REKREASI_LUAR_KAMPUS,.pdf,205052
Senarai_Semak_Permohonan_Aktiviti_Luar_Kampus,.png,283838
Senarai_Semak_Permohonan_Peruntukan_Aktiviti_Pelajar,.png,274431
Relex logo,.png,127184
relex logo,.psd,7673408
RELEX - BERKHEMAH DAN BERKAYAK,.pdf,324454
RELEX - CAMPING TUKAR TARIKH,.pdf,703912
RELEX CLUB (2020-2022)-20230517T064605Z-001,.zip,1010885068
(PINDAAN) GARIS PANDUAN VIRTUAL INNOVATION WEEK,.pdf,659105
1. Surat Rasmi Permohonan (1),.docx,129147
1. Surat Rasmi Permohonan,.docx,129147
2. BORANG C TEMPLATE (1),.docx,587607
2. BORANG C TEMPLATE (1),.dotx,162982
2. BORANG C TEMPLATE(1),.docx,587599
2. BORANG C TEMPLATE,.docx,587599
2. BORANG C TEMPLATE,.dotx,162982
3. BORANG ANALISA RISIKO AKTIVITI (1),.pdf,66860
3. BORANG ANALISA RISIKO AKTIVITI,.docx,21531
3. BORANG ANALISA RISIKO AKTIVITI,.pdf,66860
4. BORANG PENGANJURAN MAJLIS SEMASA COVID 19 (1),.pdf,197420
4. BORANG PENGANJURAN MAJLIS SEMASA COVID 19,.pdf,197420
AGM ELLITS EMCEE SCRIPT FINAL,.docx,21174
AGM MT,.jpeg,148681
AGM RELEX,.docx,22164
analisa cth,.doc,285184
BORANG C,.docx,173493
Borang KI AGM 2021,.pdf,205472
Borang KI AGM 21,.pdf,205472
Borang Penilaian Kedudukan Kelab Dan Persatuan (AGM),.pdf,158137
Borang Penilaian Kedudukan Kelab Dan Persatuan (OBC),.docx,600757
Borang Penilaian Kedudukan Kelab Dan Persatuan (OBC),.pdf,182252
Borang Penilaian Kedudukan Kelab Dan Persatuan (VIW),.pdf,46450
Borang Penilaian Kedudukan Kelab Dan Persatuan ,.docx,43381
borg c cth,.docx,104348
butir2,.docx,14995
JADUAL BERKALA AKTIVITI SESI MAC 2021_ OGOS 2021 (1),.docx,14574
JADUAL BERKALA AKTIVITI SESI MAC 2021_ OGOS 2021,.docx,14574
kayak talk skrip (1),.docx,17927
kayak talk skrip,.docx,19560
LAPORAN AGM RELEX (1),.docx,579465
LAPORAN AGM RELEX (1),.pdf,702807
LAPORAN AGM RELEX (OCT. 22),.docx,261268
LAPORAN AGM RELEX,.pdf,702807
LAPORAN AKTIVITI PROGRAM OUTDOOR BASIC CAMP,.docx,1369005
Laporan Penutup (camping talk),.pdf,881315
MINIT MESYUARAT AGM 2021 _ 2022,.docx,39332
MINIT MESYUARAT OBC,.docx,19305
mm relex copy,.docx,56700
MOVIE NIGHT,.docx,16956
MT DAN EXCO KELAB RELEX SESI 2122,.docx,12608
photo_2021-11-15_15-23-55,.jpg,127882
RELEX CLUB(1),.pptx,26773194
RELEX CLUB,.pptx,32258823
REPORT EKBAS,.docx,205699
SURAT JEMPUTAN KE BENGKEL LAPORAN PENJANAAN DAN PENJIMATAN,.pdf,184634
Surat kelulusan OBC,.pdf,202027
UPPM GUIDELINE 2021,.pdf,684800
Virtual innovation week,.pptx,29584
WhatsApp Image 2021-04-27 at 9.14.21 PM,.jpeg,164052
WhatsApp Image 2021-04-28 at 1.21.17 AM,.jpeg,430311
WhatsApp Image 2021-10-22 at 10.49.30 PM,.jpeg,115769
yato_clear,.png,127184
Relex logo(1),.png,127184
Relex logo,.png,127184
relex logo,.psd,7673408
1,.jpg,38810
2,.jpg,40296
3,.jpg,103423
1,.jpg,40352
2,.jpg,41953
1,.jpeg,164052
2,.jpeg,430311
REPORT EKBAS,.docx,205699
3RD PLACE,.jpeg,70550
INOVATION IDEA,.docx,633300
1ST PLACE,.jpeg,132386
CONTOH (1),.jpeg,51429
CONTOH (2),.jpeg,68381
CONTOH (3),.jpeg,54504
CONTOH (4),.jpeg,28899
INNOVATION,.docx,15533
LAKARAN PROJEK,.jpeg,63778
Screenshot 2021-11-20 144155,.png,484237
Screenshot 2021-11-21 000829,.png,435053
Screenshot 2021-11-21 000840,.png,455247
MT _ EXCO RELEX OCT-FEB,.pdf,109063
Analisa AGM,.xlsx,97401
ANNUAL GENERAL MEETING RELEX,.pptx,5461060
Doa AGM,.pdf,122345
LAPORAN AGM RELEX 2022_2023,.pdf,744748
MINIT MESYUARAT RELEX 2022_2023,.pdf,174054
Poster AGM,.jpg,108800
Recording AGM 2022_2023,.mp4,375396644
Senarai nama pelajar dan penganjur AGM RELEX,.pdf,145822
Surat Jemputan (MPP),.pdf,79971
Surat Jemputan (UniQ),.pdf,80764
Teks AGM,.pdf,186753
1. SURAT RASMI,.docx,77579
2.BORANG C SUNGAI BERANG,.pdf,362529
3. BORANG ANALISA RISIKO _ BORANG PENGAJURAN PROGRAM,.docx,107411
4. KERTAS KERJA SUNGAI BERANG,.docx,497853
5. Permohonan Pengecualian Kuliah,.docx,72628
6. AJK PROGRAM SUNGAI BERANG 2023,.docx,10456
7. SURAT PINDAAN TARIKH LEISURE CAMPING,.docx,350320
8. SURAT KELULUSAN LEISURE CAMPING DI PASIR RAJA,.pdf,324454
Meeting 22 Feb,.mp4,539038053
SURAT PINJAMAN PERALATAN DAN FIRST AID KIT,.docx,81874
SURAT PINJAMAN PERALATAN DAN FIRST AID KIT,.odt,72641
SURAT KELULUSAN MOHON KENDERAAN,.pdf,670754
SURAT PERMOHONAN PENGANGKUTAN (1),.pdf,396737
SURAT PERMOHONAN KIT PERTOLONGAN CEMAS,.pdf,383164
1. Surat Rasmi,.pdf,184005
2. BORANG C - AKTIVITI PELAJAR 2019,.pdf,369906
3. BORANG ANALISA RISIKO AKTIVITI,.pdf,50020
4. BORANG PENGANJURAN MAJLIS SEMASA COVID 19,.pdf,253507
Minit Mesyuarat 2,.pdf,203897
Minit Mesyuarat 3,.pdf,141542
ANALISA RISIKO _ PENGANJURAN PROGRAM,.pdf,853447
BORANG ANALISA RISIKO AKTIVITI,.docx,40064
BORANG ANALISA RISIKO AKTIVITI,.pdf,258603
BORANG C,.docx,171770
BORANG C,.pdf,349135
BORANG PENGANJURAN MAJLIS SEMASA COVID 19,.docx,44680
BORANG PENGANJURAN MAJLIS SEMASA COVID 19,.pdf,607875
SURAT RASMI,.docx,70786
SURAT RASMI,.pdf,332260
BORANG ANALISA RISIKO AKTIVITI,.docx,396675
BORANG C,.docx,171724
BORANG PENGANJURAN MAJLIS SEMASA COVID 19,.docx,44665
SURAT RASMI,.docx,71434
ANALISA RISIKO _ PENGANJURAN PROGRAM,.pdf,855172
BORANG ANALISA RISIKO AKTIVITI,.docx,40090
BORANG ANALISA RISIKO AKTIVITI,.pdf,260152
BORANG C,.docx,171833
BORANG C,.pdf,350063
BORANG PENGANJURAN MAJLIS SEMASA COVID 19,.docx,44772
BORANG PENGANJURAN MAJLIS SEMASA COVID 19,.pdf,608038
SURAT RASMI,.docx,72193
SURAT RASMI,.pdf,333280
BORANG ANALISA RISIKO AKTIVITI,.docx,39750
BORANG C,.docx,171742
BORANG PENGANJURAN MAJLIS SEMASA COVID 19,.docx,44742
SURAT RASMI,.docx,71310
BORANG ANALISA RISIKO AKTIVITI,.docx,39871
BORANG C,.docx,172081
BORANG PENGANJURAN MAJLIS SEMASA COVID 19,.docx,44741
SURAT RASMI,.docx,332272
BORANG ANALISA RISIKO AKTIVITI,.docx,40071
BORANG C,.docx,171654
BORANG PENGANJURAN MAJLIS SEMASA COVID 19,.docx,44672
SURAT RASMI,.docx,71276
BORANG ANALISA RISIKO AKTIVITI,.docx,40128
BORANG C,.docx,171886
BORANG PENGANJURAN MAJLIS SEMASA COVID 19,.docx,44755
SURAT RASMI,.docx,70809
BORANG ANALISA RISIKO AKTIVITI,.docx,40059
BORANG C,.docx,172224
BORANG PENGANJURAN MAJLIS SEMASA COVID 19,.docx,44667
SURAT RASMI,.docx,71364
jamuan raya,.txt,149
Relex logo,.png,127184
EACC - TRADITIONAL CULTURE,.pdf,427392
RELEX - BERKHEMAH DAN BERKAYAK,.pdf,324454
